celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week,n_judges_present,total_judge_score,last_active_week,active,judge_rank,judge_percent
Toni Braxton,Alec Mazo,Singer/Rapper,Maryland,United States,40,7,Eliminated Week 5,8,3,3,22.0,5,1,4.0,0.11055276381909548
Toni Braxton,Alec Mazo,Singer/Rapper,Maryland,United States,40,7,Eliminated Week 5,8,4,3,22.0,5,1,5.0,0.10837438423645321
Toni Braxton,Alec Mazo,Singer/Rapper,Maryland,United States,40,7,Eliminated Week 5,8,5,3,22.0,5,1,5.0,0.11282051282051282
Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,7,3rd Place,3,1,3,21.5,10,1,3.0,0.08531746031746032
Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,7,3rd Place,3,2,3,20.0,10,1,7.0,0.09049773755656108
Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,7,3rd Place,3,3,3,22.0,10,1,4.0,0.11055276381909548
Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,7,3rd Place,3,4,3,26.0,10,1,1.0,0.12807881773399016
Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,7,3rd Place,3,5,3,21.0,10,1,7.0,0.1076923076923077
Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,7,3rd Place,3,6,3,27.0,10,1,1.0,0.16875
Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,7,3rd Place,3,7,3,25.0,10,1,2.0,0.17006802721088435
Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,7,3rd Place,3,8,3,25.0,10,1,3.0,0.19607843137254902
Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,7,3rd Place,3,9,3,28.5,10,1,1.0,0.2835820895522388
Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,7,3rd Place,3,10,3,27.5,10,1,2.0,0.3235294117647059
Kim Kardashian,Mark Ballas,TV Personality,California,United States,27,7,Eliminated Week 2,11,1,3,18.5,2,1,8.0,0.07341269841269842
Kim Kardashian,Mark Ballas,TV Personality,California,United States,27,7,Eliminated Week 2,11,2,3,17.0,2,1,9.0,0.07692307692307693
Rocco DiSpirito,Karina Smirnoff,TV Personality,New York,United States,41,7,Eliminated Week 4,9,1,3,17.5,4,1,11.0,0.06944444444444445
Rocco DiSpirito,Karina Smirnoff,TV Personality,New York,United States,41,7,Eliminated Week 4,9,2,3,16.0,4,1,10.0,0.07239819004524888
Rocco DiSpirito,Karina Smirnoff,TV Personality,New York,United States,41,7,Eliminated Week 4,9,3,3,20.0,4,1,8.0,0.10050251256281408
Rocco DiSpirito,Karina Smirnoff,TV Personality,New York,United States,41,7,Eliminated Week 4,9,4,3,18.0,4,1,9.0,0.08866995073891626
Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,7,1st Place,1,1,3,24.5,10,1,1.0,0.09722222222222222
Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,7,1st Place,1,2,3,24.0,10,1,1.0,0.1085972850678733
Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,7,1st Place,1,3,3,28.0,10,1,1.0,0.1407035175879397
Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,7,1st Place,1,4,3,26.0,10,1,1.0,0.12807881773399016
Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,7,1st Place,1,5,3,29.0,10,1,1.0,0.14871794871794872
Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,7,1st Place,1,6,3,26.0,10,1,2.0,0.1625
Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,7,1st Place,1,7,3,30.0,10,1,1.0,0.20408163265306123
Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,7,1st Place,1,8,3,27.5,10,1,1.0,0.21568627450980393
Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,7,1st Place,1,9,3,24.5,10,1,2.0,0.24378109452736318
Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,7,1st Place,1,10,3,30.0,10,1,1.0,0.35294117647058826
Gilles Marini,Cheryl Burke,Actor/Actress,Unknown,France,33,8,2nd Place,2,1,3,24.0,11,1,1.0,0.09876543209876543
Gilles Marini,Cheryl Burke,Actor/Actress,Unknown,France,33,8,2nd Place,2,2,3,27.0,11,1,1.0,0.1018867924528302
Gilles Marini,Cheryl Burke,Actor/Actress,Unknown,France,33,8,2nd Place,2,3,3,27.0,11,1,1.0,0.1062992125984252
Gilles Marini,Cheryl Burke,Actor/Actress,Unknown,France,33,8,2nd Place,2,4,3,30.0,11,1,1.0,0.12396694214876033
Gilles Marini,Cheryl Burke,Actor/Actress,Unknown,France,33,8,2nd Place,2,5,3,29.0,11,1,1.0,0.1380952380952381
Gilles Marini,Cheryl Burke,Actor/Actress,Unknown,France,33,8,2nd Place,2,6,3,26.0,11,1,3.0,0.13978494623655913
Gilles Marini,Cheryl Burke,Actor/Actress,Unknown,France,33,8,2nd Place,2,7,3,27.0,11,1,3.0,0.14835164835164835
Gilles Marini,Cheryl Burke,Actor/Actress,Unknown,France,33,8,2nd Place,2,8,3,27.5,11,1,2.0,0.1762820512820513
Gilles Marini,Cheryl Burke,Actor/Actress,Unknown,France,33,8,2nd Place,2,9,3,28.0,11,1,2.0,0.20973782771535582
Gilles Marini,Cheryl Burke,Actor/Actress,Unknown,France,33,8,2nd Place,2,10,3,30.0,11,1,1.0,0.273972602739726
Gilles Marini,Cheryl Burke,Actor/Actress,Unknown,France,33,8,2nd Place,2,11,3,29.0,11,1,2.0,0.3314285714285714
Denise Richards,Maksim Chmerkoskiy,Actor/Actress,Illinois,United States,38,8,Eliminated Week 3,12,1,3,18.0,3,1,7.0,0.07407407407407407
Denise Richards,Maksim Chmerkoskiy,Actor/Actress,Illinois,United States,38,8,Eliminated Week 3,12,2,3,21.0,3,1,5.0,0.07924528301886792
Denise Richards,Maksim Chmerkoskiy,Actor/Actress,Illinois,United States,38,8,Eliminated Week 3,12,3,3,16.0,3,1,10.0,0.06299212598425197
David Alan Grier,Kym Johnson,Actor/Actress,Michigan,United States,52,8,Eliminated Week 5,9,1,3,19.0,5,1,6.0,0.07818930041152264
David Alan Grier,Kym Johnson,Actor/Actress,Michigan,United States,52,8,Eliminated Week 5,9,2,3,17.0,5,1,11.0,0.06415094339622641
David Alan Grier,Kym Johnson,Actor/Actress,Michigan,United States,52,8,Eliminated Week 5,9,3,3,24.0,5,1,5.0,0.09448818897637795
David Alan Grier,Kym Johnson,Actor/Actress,Michigan,United States,52,8,Eliminated Week 5,9,4,3,22.0,5,1,6.0,0.09090909090909091
David Alan Grier,Kym Johnson,Actor/Actress,Michigan,United States,52,8,Eliminated Week 5,9,5,3,22.0,5,1,6.0,0.10476190476190476
Lawrence Taylor,Edyta Sliwinska,Athlete,Virginia,United States,50,8,Eliminated Week 7,7,1,3,16.0,7,1,11.0,0.06584362139917696
Lawrence Taylor,Edyta Sliwinska,Athlete,Virginia,United States,50,8,Eliminated Week 7,7,2,3,20.0,7,1,6.0,0.07547169811320754
Lawrence Taylor,Edyta Sliwinska,Athlete,Virginia,United States,50,8,Eliminated Week 7,7,3,3,20.0,7,1,8.0,0.07874015748031496
Lawrence Taylor,Edyta Sliwinska,Athlete,Virginia,United States,50,8,Eliminated Week 7,7,4,3,19.0,7,1,8.0,0.07851239669421488
Lawrence Taylor,Edyta Sliwinska,Athlete,Virginia,United States,50,8,Eliminated Week 7,7,5,3,20.0,7,1,8.0,0.09523809523809523
Lawrence Taylor,Edyta Sliwinska,Athlete,Virginia,United States,50,8,Eliminated Week 7,7,6,3,22.0,7,1,6.0,0.11827956989247312
Lawrence Taylor,Edyta Sliwinska,Athlete,Virginia,United States,50,8,Eliminated Week 7,7,7,3,21.0,7,1,7.0,0.11538461538461539
Ty Murray,Chelsie Hightower,Athlete,Arizona,United States,39,8,Eliminated Week 10,4,1,3,14.0,10,1,12.0,0.05761316872427984
Ty Murray,Chelsie Hightower,Athlete,Arizona,United States,39,8,Eliminated Week 10,4,2,3,20.0,10,1,6.0,0.07547169811320754
Ty Murray,Chelsie Hightower,Athlete,Arizona,United States,39,8,Eliminated Week 10,4,3,3,23.0,10,1,6.0,0.09055118110236221
Ty Murray,Chelsie Hightower,Athlete,Arizona,United States,39,8,Eliminated Week 10,4,4,3,25.0,10,1,4.0,0.10330578512396695
Ty Murray,Chelsie Hightower,Athlete,Arizona,United States,39,8,Eliminated Week 10,4,5,3,21.0,10,1,7.0,0.1
Ty Murray,Chelsie Hightower,Athlete,Arizona,United States,39,8,Eliminated Week 10,4,6,3,18.0,10,1,7.0,0.0967741935483871
Ty Murray,Chelsie Hightower,Athlete,Arizona,United States,39,8,Eliminated Week 10,4,7,3,24.0,10,1,6.0,0.13186813186813187
Ty Murray,Chelsie Hightower,Athlete,Arizona,United States,39,8,Eliminated Week 10,4,8,3,26.0,10,1,3.0,0.16666666666666666
Ty Murray,Chelsie Hightower,Athlete,Arizona,United States,39,8,Eliminated Week 10,4,9,3,23.0,10,1,5.0,0.17228464419475656
Ty Murray,Chelsie Hightower,Athlete,Arizona,United States,39,8,Eliminated Week 10,4,10,3,24.0,10,1,4.0,0.2191780821917808
Shawn Johnson,Mark Ballas,Athlete,Iowa,United States,17,8,1st Place,1,1,3,23.0,11,1,2.0,0.09465020576131687
Shawn Johnson,Mark Ballas,Athlete,Iowa,United States,17,8,1st Place,1,2,3,24.0,11,1,3.0,0.09056603773584905
Shawn Johnson,Mark Ballas,Athlete,Iowa,United States,17,8,1st Place,1,3,3,27.0,11,1,1.0,0.1062992125984252
Shawn Johnson,Mark Ballas,Athlete,Iowa,United States,17,8,1st Place,1,4,3,25.0,11,1,4.0,0.10330578512396695
Shawn Johnson,Mark Ballas,Athlete,Iowa,United States,17,8,1st Place,1,5,3,26.0,11,1,2.0,0.12380952380952381
Shawn Johnson,Mark Ballas,Athlete,Iowa,United States,17,8,1st Place,1,6,3,26.0,11,1,3.0,0.13978494623655913
Shawn Johnson,Mark Ballas,Athlete,Iowa,United States,17,8,1st Place,1,7,3,28.0,11,1,2.0,0.15384615384615385
Shawn Johnson,Mark Ballas,Athlete,Iowa,United States,17,8,1st Place,1,8,3,26.0,11,1,3.0,0.16666666666666666
Shawn Johnson,Mark Ballas,Athlete,Iowa,United States,17,8,1st Place,1,9,3,28.0,11,1,2.0,0.20973782771535582
Shawn Johnson,Mark Ballas,Athlete,Iowa,United States,17,8,1st Place,1,10,3,28.0,11,1,2.0,0.2557077625570776
Shawn Johnson,Mark Ballas,Athlete,Iowa,United States,17,8,1st Place,1,11,3,30.0,11,1,1.0,0.34285714285714286
Steve Wozniak,Karina Smirnoff,Entrepreneur,California,United States,58,8,Eliminated Week 4,10,1,3,13.0,4,1,13.0,0.053497942386831275
Steve Wozniak,Karina Smirnoff,Entrepreneur,California,United States,58,8,Eliminated Week 4,10,2,3,17.0,4,1,11.0,0.06415094339622641
Steve Wozniak,Karina Smirnoff,Entrepreneur,California,United States,58,8,Eliminated Week 4,10,3,3,10.0,4,1,12.0,0.03937007874015748
Steve Wozniak,Karina Smirnoff,Entrepreneur,California,United States,58,8,Eliminated Week 4,10,4,3,12.0,4,1,11.0,0.049586776859504134
Belinda Carlisle,Jonathan Roberts,Singer/Rapper,California,United States,50,8,Eliminated Week 2,13,1,3,17.0,2,1,9.0,0.06995884773662552
Belinda Carlisle,Jonathan Roberts,Singer/Rapper,California,United States,50,8,Eliminated Week 2,13,2,3,18.0,2,1,9.0,0.06792452830188679
Chuck Wicks,Julianne Hough,Singer/Rapper,Delaware,United States,29,8,Eliminated Week 8,6,1,3,20.0,8,1,5.0,0.0823045267489712
Chuck Wicks,Julianne Hough,Singer/Rapper,Delaware,United States,29,8,Eliminated Week 8,6,2,3,20.0,8,1,6.0,0.07547169811320754
Chuck Wicks,Julianne Hough,Singer/Rapper,Delaware,United States,29,8,Eliminated Week 8,6,3,3,23.0,8,1,6.0,0.09055118110236221
Chuck Wicks,Julianne Hough,Singer/Rapper,Delaware,United States,29,8,Eliminated Week 8,6,4,3,22.0,8,1,6.0,0.09090909090909091
Chuck Wicks,Julianne Hough,Singer/Rapper,Delaware,United States,29,8,Eliminated Week 8,6,5,3,23.0,8,1,5.0,0.10952380952380952
Chuck Wicks,Julianne Hough,Singer/Rapper,Delaware,United States,29,8,Eliminated Week 8,6,6,3,23.0,8,1,5.0,0.12365591397849462
Chuck Wicks,Julianne Hough,Singer/Rapper,Delaware,United States,29,8,Eliminated Week 8,6,7,3,27.0,8,1,3.0,0.14835164835164835
Chuck Wicks,Julianne Hough,Singer/Rapper,Delaware,United States,29,8,Eliminated Week 8,6,8,3,25.5,8,1,5.0,0.16346153846153846
Lil' Kim,Derek Hough,Singer/Rapper,New York,United States,34,8,Eliminated Week 9,5,1,3,21.0,9,1,4.0,0.08641975308641975
Lil' Kim,Derek Hough,Singer/Rapper,New York,United States,34,8,Eliminated Week 9,5,2,3,23.0,9,1,4.0,0.08679245283018867
Lil' Kim,Derek Hough,Singer/Rapper,New York,United States,34,8,Eliminated Week 9,5,3,3,25.0,9,1,4.0,0.0984251968503937
Lil' Kim,Derek Hough,Singer/Rapper,New York,United States,34,8,Eliminated Week 9,5,4,3,27.0,9,1,3.0,0.1115702479338843
Lil' Kim,Derek Hough,Singer/Rapper,New York,United States,34,8,Eliminated Week 9,5,5,3,26.0,9,1,2.0,0.12380952380952381
Lil' Kim,Derek Hough,Singer/Rapper,New York,United States,34,8,Eliminated Week 9,5,6,3,28.0,9,1,1.0,0.15053763440860216
Lil' Kim,Derek Hough,Singer/Rapper,New York,United States,34,8,Eliminated Week 9,5,7,3,26.0,9,1,5.0,0.14285714285714285
Lil' Kim,Derek Hough,Singer/Rapper,New York,United States,34,8,Eliminated Week 9,5,8,3,28.0,9,1,1.0,0.1794871794871795
Lil' Kim,Derek Hough,Singer/Rapper,New York,United States,34,8,Eliminated Week 9,5,9,3,26.0,9,1,4.0,0.1947565543071161
Steve-O,Lacey Schwimmer,TV Personality,Unknown,England,34,8,Eliminated Week 6,8,1,3,17.0,6,1,9.0,0.06995884773662552
Steve-O,Lacey Schwimmer,TV Personality,Unknown,England,34,8,Eliminated Week 6,8,2,3,14.0,6,1,13.0,0.052830188679245285
Steve-O,Lacey Schwimmer,TV Personality,Unknown,England,34,8,Eliminated Week 6,8,3,3,15.0,6,1,11.0,0.05905511811023622
Steve-O,Lacey Schwimmer,TV Personality,Unknown,England,34,8,Eliminated Week 6,8,4,3,15.0,6,1,10.0,0.06198347107438017
Steve-O,Lacey Schwimmer,TV Personality,Unknown,England,34,8,Eliminated Week 6,8,5,3,18.0,6,1,9.0,0.08571428571428572
Steve-O,Lacey Schwimmer,TV Personality,Unknown,England,34,8,Eliminated Week 6,8,6,3,16.0,6,1,8.0,0.08602150537634409
Holly Madison,Dmitry Chaplin,TV Personality,Oregon,United States,30,8,Eliminated Week 4,11,1,3,18.0,4,1,7.0,0.07407407407407407
Holly Madison,Dmitry Chaplin,TV Personality,Oregon,United States,30,8,Eliminated Week 4,11,2,3,18.0,4,1,9.0,0.06792452830188679
Holly Madison,Dmitry Chaplin,TV Personality,Oregon,United States,30,8,Eliminated Week 4,11,3,3,17.0,4,1,9.0,0.06692913385826772
Holly Madison,Dmitry Chaplin,TV Personality,Oregon,United States,30,8,Eliminated Week 4,11,4,3,16.0,4,1,9.0,0.06611570247933884
Melissa Rycroft,Tony Dovolani,TV Personality,Texas,United States,26,8,3rd Place,3,1,3,23.0,11,1,2.0,0.09465020576131687
Melissa Rycroft,Tony Dovolani,TV Personality,Texas,United States,26,8,3rd Place,3,2,3,26.0,11,1,2.0,0.09811320754716982
Melissa Rycroft,Tony Dovolani,TV Personality,Texas,United States,26,8,3rd Place,3,3,3,27.0,11,1,1.0,0.1062992125984252
Melissa Rycroft,Tony Dovolani,TV Personality,Texas,United States,26,8,3rd Place,3,4,3,29.0,11,1,2.0,0.11983471074380166
Melissa Rycroft,Tony Dovolani,TV Personality,Texas,United States,26,8,3rd Place,3,5,3,25.0,11,1,4.0,0.11904761904761904
Melissa Rycroft,Tony Dovolani,TV Personality,Texas,United States,26,8,3rd Place,3,6,3,27.0,11,1,2.0,0.14516129032258066
Melissa Rycroft,Tony Dovolani,TV Personality,Texas,United States,26,8,3rd Place,3,7,3,29.0,11,1,1.0,0.15934065934065933
Melissa Rycroft,Tony Dovolani,TV Personality,Texas,United States,26,8,3rd Place,3,8,3,23.0,11,1,6.0,0.14743589743589744
Melissa Rycroft,Tony Dovolani,TV Personality,Texas,United States,26,8,3rd Place,3,9,3,28.5,11,1,1.0,0.21348314606741572
Melissa Rycroft,Tony Dovolani,TV Personality,Texas,United States,26,8,3rd Place,3,10,3,27.5,11,1,3.0,0.2511415525114155
Melissa Rycroft,Tony Dovolani,TV Personality,Texas,United States,26,8,3rd Place,3,11,3,28.5,11,1,3.0,0.32571428571428573
Ashley Hamiliton,Edyta Sliwinska,Actor/Actress,California,United States,34,9,Eliminated Week 1,16,1,3,18.9999,1,1,15.0,0.046797967676719905
Debi Mazar,Maksim Chmerkoskiy,Actor/Actress,New York,United States,45,9,Eliminated Week 3,12,1,3,22.0,3,1,10.0,0.05418740566465287
Debi Mazar,Maksim Chmerkoskiy,Actor/Actress,New York,United States,45,9,Eliminated Week 3,12,2,3,21.0,3,1,4.0,0.07142857142857142
Debi Mazar,Maksim Chmerkoskiy,Actor/Actress,New York,United States,45,9,Eliminated Week 3,12,3,3,17.0,3,1,10.0,0.06589147286821706
Melissa Joan Hart,Mark Ballas,Actor/Actress,New York,United States,33,9,Eliminated Week 6,9,1,3,24.0,6,1,9.0,0.05911353345234858
Melissa Joan Hart,Mark Ballas,Actor/Actress,New York,United States,33,9,Eliminated Week 6,9,2,3,19.0,6,1,9.0,0.06462585034013606
Melissa Joan Hart,Mark Ballas,Actor/Actress,New York,United States,33,9,Eliminated Week 6,9,3,3,19.0,6,1,8.0,0.07364341085271318
Melissa Joan Hart,Mark Ballas,Actor/Actress,New York,United States,33,9,Eliminated Week 6,9,4,3,28.0,6,1,1.0,0.11570247933884298
Melissa Joan Hart,Mark Ballas,Actor/Actress,New York,United States,33,9,Eliminated Week 6,9,5,3,23.0,6,1,7.0,0.09504132231404959
Melissa Joan Hart,Mark Ballas,Actor/Actress,New York,United States,33,9,Eliminated Week 6,9,6,3,23.9999,6,1,8.0,0.09230762721870961
Mark Dacascos,Lacey Schwimmer,Actor/Actress,Hawaii,United States,45,9,Eliminated Week 7,6,1,3,28.9998,7,1,6.0,0.0714283603088091
Mark Dacascos,Lacey Schwimmer,Actor/Actress,Hawaii,United States,45,9,Eliminated Week 7,6,2,3,21.0,7,1,4.0,0.07142857142857142
Mark Dacascos,Lacey Schwimmer,Actor/Actress,Hawaii,United States,45,9,Eliminated Week 7,6,3,3,18.0,7,1,9.0,0.06976744186046512
Mark Dacascos,Lacey Schwimmer,Actor/Actress,Hawaii,United States,45,9,Eliminated Week 7,6,4,3,22.0,7,1,7.0,0.09090909090909091
Mark Dacascos,Lacey Schwimmer,Actor/Actress,Hawaii,United States,45,9,Eliminated Week 7,6,5,3,26.0,7,1,3.0,0.10743801652892562
Mark Dacascos,Lacey Schwimmer,Actor/Actress,Hawaii,United States,45,9,Eliminated Week 7,6,6,3,32.0,7,1,4.0,0.12307734911390078
Mark Dacascos,Lacey Schwimmer,Actor/Actress,Hawaii,United States,45,9,Eliminated Week 7,6,7,3,21.5,7,1,7.0,0.1225071225071225
Chuck Liddell,Anna Trebunskaya,Athlete,California,United States,39,9,Eliminated Week 4,11,1,3,22.0,4,1,10.0,0.05418740566465287
Chuck Liddell,Anna Trebunskaya,Athlete,California,United States,39,9,Eliminated Week 4,11,2,3,19.0,4,1,9.0,0.06462585034013606
Chuck Liddell,Anna Trebunskaya,Athlete,California,United States,39,9,Eliminated Week 4,11,3,3,17.0,4,1,10.0,0.06589147286821706
Chuck Liddell,Anna Trebunskaya,Athlete,California,United States,39,9,Eliminated Week 4,11,4,3,17.0,4,1,9.0,0.07024793388429752
Natalie Coughlin,Alec Mazo,Athlete,California,United States,27,9,Eliminated Week 5,10,1,3,26.9998,5,1,7.0,0.06650223252111338
Natalie Coughlin,Alec Mazo,Athlete,California,United States,27,9,Eliminated Week 5,10,2,3,21.0,5,1,4.0,0.07142857142857142
Natalie Coughlin,Alec Mazo,Athlete,California,United States,27,9,Eliminated Week 5,10,3,3,26.0,5,1,2.0,0.10077519379844961
Natalie Coughlin,Alec Mazo,Athlete,California,United States,27,9,Eliminated Week 5,10,4,3,24.0,5,1,4.0,0.09917355371900827
Natalie Coughlin,Alec Mazo,Athlete,California,United States,27,9,Eliminated Week 5,10,5,3,22.0,5,1,8.0,0.09090909090909091
Louie Vito,Chelsie Hightower,Athlete,Ohio,United States,21,9,Eliminated Week 6,8,1,3,26.9998,6,1,7.0,0.06650223252111338
Louie Vito,Chelsie Hightower,Athlete,Ohio,United States,21,9,Eliminated Week 6,8,2,3,19.0,6,1,9.0,0.06462585034013606
Louie Vito,Chelsie Hightower,Athlete,Ohio,United States,21,9,Eliminated Week 6,8,3,3,20.0,6,1,6.0,0.07751937984496124
Louie Vito,Chelsie Hightower,Athlete,Ohio,United States,21,9,Eliminated Week 6,8,4,3,16.0,6,1,10.0,0.06611570247933884
Louie Vito,Chelsie Hightower,Athlete,Ohio,United States,21,9,Eliminated Week 6,8,5,3,22.0,6,1,8.0,0.09090909090909091
Louie Vito,Chelsie Hightower,Athlete,Ohio,United States,21,9,Eliminated Week 6,8,6,3,24.0,6,1,7.0,0.09230801183542559
Michael Irvin,Anna Demidova,Athlete,Florida,United States,43,9,Eliminated Week 7,7,1,3,19.0,7,1,14.0,0.046798213983109294
Michael Irvin,Anna Demidova,Athlete,Florida,United States,43,9,Eliminated Week 7,7,2,3,20.0,7,1,7.0,0.06802721088435375
Michael Irvin,Anna Demidova,Athlete,Florida,United States,43,9,Eliminated Week 7,7,3,3,14.0,7,1,13.0,0.05426356589147287
Michael Irvin,Anna Demidova,Athlete,Florida,United States,43,9,Eliminated Week 7,7,4,3,16.0,7,1,10.0,0.06611570247933884
Michael Irvin,Anna Demidova,Athlete,Florida,United States,43,9,Eliminated Week 7,7,5,3,21.0,7,1,10.0,0.08677685950413223
Michael Irvin,Anna Demidova,Athlete,Florida,United States,43,9,Eliminated Week 7,7,6,3,21.9998,7,1,9.0,0.08461490828237482
Michael Irvin,Anna Demidova,Athlete,Florida,United States,43,9,Eliminated Week 7,7,7,3,23.5,7,1,6.0,0.1339031339031339
Joanna Krupa,Derek Hough,Model,Unknown,Poland,30,9,Eliminated Week 9,4,1,3,33.9999,9,1,1.0,0.08374392608443776
Joanna Krupa,Derek Hough,Model,Unknown,Poland,30,9,Eliminated Week 9,4,2,3,20.0,9,1,7.0,0.06802721088435375
Joanna Krupa,Derek Hough,Model,Unknown,Poland,30,9,Eliminated Week 9,4,3,3,23.0,9,1,3.0,0.08914728682170543
Joanna Krupa,Derek Hough,Model,Unknown,Poland,30,9,Eliminated Week 9,4,4,3,26.0,9,1,3.0,0.10743801652892562
Joanna Krupa,Derek Hough,Model,Unknown,Poland,30,9,Eliminated Week 9,4,5,3,24.0,9,1,4.0,0.09917355371900827
Joanna Krupa,Derek Hough,Model,Unknown,Poland,30,9,Eliminated Week 9,4,6,3,35.9999,9,1,1.0,0.13846163313642237
Joanna Krupa,Derek Hough,Model,Unknown,Poland,30,9,Eliminated Week 9,4,7,3,27.5,9,1,1.0,0.15669515669515668
Joanna Krupa,Derek Hough,Model,Unknown,Poland,30,9,Eliminated Week 9,4,8,3,26.0,9,1,2.0,0.1984732824427481
Joanna Krupa,Derek Hough,Model,Unknown,Poland,30,9,Eliminated Week 9,4,9,3,27.0,9,1,2.0,0.2531258701201785
Kathy Ireland,Tony Dovolani,Model,California,United States,46,9,Eliminated Week 2,14,1,3,19.9999,2,1,12.0,0.04926103157056776
Kathy Ireland,Tony Dovolani,Model,California,United States,46,9,Eliminated Week 2,14,2,3,18.0,2,1,13.0,0.061224489795918366
Tom DeLay,Cheryl Burke,Politician,Texas,United States,62,9,Withdrew,13,1,3,19.9999,3,1,12.0,0.04926103157056776
Tom DeLay,Cheryl Burke,Politician,Texas,United States,62,9,Withdrew,13,2,3,18.0,3,1,13.0,0.061224489795918366
Tom DeLay,Cheryl Burke,Politician,Texas,United States,62,9,Withdrew,13,3,3,15.0,3,1,12.0,0.05813953488372093
Macy Gray,Jonathan Roberts,Singer/Rapper,Ohio,United States,42,9,Eliminated Week 1,15,1,3,18.9999,1,1,15.0,0.046797967676719905
Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21,9,Eliminated Week 8,5,1,3,31.999899999999997,8,1,2.0,0.07881779829674204
Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21,9,Eliminated Week 8,5,2,3,27.0,8,1,1.0,0.09183673469387756
Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21,9,Eliminated Week 8,5,3,3,21.0,8,1,4.0,0.08139534883720931
Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21,9,Eliminated Week 8,5,4,3,18.0,8,1,8.0,0.0743801652892562
Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21,9,Eliminated Week 8,5,5,3,24.0,8,1,4.0,0.09917355371900827
Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21,9,Eliminated Week 8,5,6,3,32.9998,8,1,3.0,0.12692274704027823
Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21,9,Eliminated Week 8,5,7,3,26.5,8,1,2.0,0.150997150997151
Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21,9,Eliminated Week 8,5,8,3,25.0,8,1,4.0,0.19083969465648856
Mya,Dmitry Chaplin,Singer/Rapper,Washington D.C.,United States,29,9,2nd Place,2,1,3,30.999899999999997,10,1,3.0,0.07635473440289418
Mya,Dmitry Chaplin,Singer/Rapper,Washington D.C.,United States,29,9,2nd Place,2,2,3,27.0,10,1,1.0,0.09183673469387756
Mya,Dmitry Chaplin,Singer/Rapper,Washington D.C.,United States,29,9,2nd Place,2,3,3,27.0,10,1,1.0,0.10465116279069768
Mya,Dmitry Chaplin,Singer/Rapper,Washington D.C.,United States,29,9,2nd Place,2,4,3,28.0,10,1,1.0,0.11570247933884298
Mya,Dmitry Chaplin,Singer/Rapper,Washington D.C.,United States,29,9,2nd Place,2,5,3,27.0,10,1,2.0,0.1115702479338843
Mya,Dmitry Chaplin,Singer/Rapper,Washington D.C.,United States,29,9,2nd Place,2,6,3,33.0,10,1,2.0,0.12692351627371018
Mya,Dmitry Chaplin,Singer/Rapper,Washington D.C.,United States,29,9,2nd Place,2,7,3,24.5,10,1,5.0,0.1396011396011396
Mya,Dmitry Chaplin,Singer/Rapper,Washington D.C.,United States,29,9,2nd Place,2,8,3,29.5,10,1,1.0,0.22519083969465647
Mya,Dmitry Chaplin,Singer/Rapper,Washington D.C.,United States,29,9,2nd Place,2,9,3,28.9999,10,1,1.0,0.27187499707030244
Mya,Dmitry Chaplin,Singer/Rapper,Washington D.C.,United States,29,9,2nd Place,2,10,3,28.333199999999998,10,1,2.0,0.34320309320309317
Donny Osmond,Kym Johnson,Singer/Rapper,Utah,United States,51,9,1st Place,1,1,3,29.999899999999997,10,1,5.0,0.07389167050904633
Donny Osmond,Kym Johnson,Singer/Rapper,Utah,United States,51,9,1st Place,1,2,3,25.0,10,1,3.0,0.08503401360544217
